|urn:nbn:de:0168-ssoar-213390|Publication|URN|Alters-Survey - Lebenszusammenhänge, Selbst- und Lebenskonzeptionen (Deutscher Alterssurvey, 1. Welle 1996)|Alters-Survey 1996|10.4232/1.3264|Study|DOI|0.7|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 60.3 (2003-2004)|Eurobarometer 2003|10.4232/1.3940|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 59.1 (2003)|Eurobarometer 2003|10.4232/1.3904|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 60.3 (Nov-Dec 2003)|Eurobarometer 2003|10.4232/1.10960|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 59.2 (May-Jun 2003)|Eurobarometer 2003|10.4232/1.10956|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 60.1 (Oct-Nov 2003)|Eurobarometer 2003|10.4232/1.10958|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 60.1 (2003)|Eurobarometer 2003|10.4232/1.3938|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 59.2 (2003)|Eurobarometer 2003|10.4232/1.3905|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 60.2 (Nov-Dec 2003)|Eurobarometer 2003|10.4232/1.10959|Study|DOI|0.8|LitStudy_automatic
|urn:nbn:de:0168-ssoar-206773|Publication|URN|Eurobarometer 60.0 (2003)|Eurobarometer 2003|10.4232/1.3937|Study|DOI|0.8|LitStudy_automatic
